JobKey,JobId,JobTitle,JobLevel,JobTag
1281,SoftwareEngineer74,Software Engineer,74,Distributed Systems (Back-End)
1282,SoftwareEngineer6B,Software Engineer,6B,Full Stack
1283,SoftwareEngineeringManagerSr.Manager,Software Engineering Manager,Sr. Manager,DevOps
1284,SoftwareEngineeringManagerBand8,Software Engineering Manager,Band 8,ML / AI
1285,MechanicalEngineerSenior,Mechanical Engineer,Senior,Mechanical Engineering
1286,MechanicalEngineerL2,Mechanical Engineer,L2,Mechanical Design
1287,ProductManagerVicePresident,Product Manager,Vice President,Risk
1288,DataScientist4.5,Data Scientist,4.5,Business Analytics
1289,SoftwareEngineerStaffSecurityEngineer,Software Engineer,Staff Security Engineer,Security
1290,HumanResources28,Human Resources,28,Human Resource
1291,SoftwareEngineerLeadSystemsengineer,Software Engineer,Lead Systems engineer,DevOps
1292,ProductManagerECB8,Product Manager,ECB8,Full Stack
1293,SolutionArchitectSeniorMTS,Solution Architect,Senior MTS,Full Stack
1294,SolutionArchitectSeniorTechnicalStaffMember,Solution Architect,Senior Technical Staff Member,Distributed Systems (Back-End)
1295,SoftwareEngineerEntrylevel,Software Engineer,Entry level,Full Stack
1296,ProductDesignerSeniorStaffEngineer,Product Designer,Senior Staff Engineer,UX
1297,SolutionArchitectStaffEngineer1,Solution Architect,Staff Engineer 1,DevOps
1298,SalesSeniorManager,Sales,Senior Manager,Sales
1299,HardwareEngineer5,Hardware Engineer,5,TD Process Eng
1300,"SoftwareEngineeringManagerBand10,ProgramDirector",Software Engineering Manager,"Band 10, Program Director",Full Stack
1301,SoftwareEngineerMidlevel,Software Engineer,Mid level,Web Development (Front-End)
1302,DataScientistJunior,Data Scientist,Junior,ML / AI
1303,SoftwareEngineeringManagerUnsure,Software Engineering Manager,Unsure,DevOps
1304,SalesGlobalaccountmanager,Sales,Global account manager,Sales
1305,HardwareEngineerPrincipalEng,Hardware Engineer,Principal Eng,Vlsi
1306,SoftwareEngineerAssociateSeniorSoftwareEngineer,Software Engineer,Associate Senior Software Engineer,Full Stack
1307,SoftwareEngineeringManagerSeniorSoftwareengineeringmanager,Software Engineering Manager,Senior Software engineering manager,Distributed Systems (Back-End)
1308,SoftwareEngineerSE5,Software Engineer,SE 5,Security
1309,SoftwareEngineerASE5,Software Engineer,ASE5,Full Stack
1310,ProductDesignerUXDesigner3,Product Designer,UX Designer 3,Design
1311,SolutionArchitect66,Solution Architect,66,Enterprise
1312,ProductManagerAVP,Product Manager,AVP,Product Team Management
1313,MarketingIC7,Marketing,IC7,DevOps
1314,HardwareEngineer29,Hardware Engineer,29,Hardware
1315,DataScientistT2,Data Scientist,T2,ML / AI
1316,HardwareEngineer64,Hardware Engineer,64,Testing (SDET)
1317,SoftwareEngineeringManagerAssociateDirector,Software Engineering Manager,Associate Director,Distributed Systems (Back-End)
1318,DataScientistSoftwareEngineer3,Data Scientist,Software Engineer 3,ML / AI
1319,ProductDesignerAssociateUserExperienceDirector,Product Designer,Associate User Experience Director,Web Development (Front-End)
1320,HardwareEngineerICB7,Hardware Engineer,ICB 7,asic
1321,ProductManagerIC7,Product Manager,IC7,Full Stack
1322,SolutionArchitectt4,Solution Architect,t4,iOS
1323,SoftwareEngineeringManagerPrincipalConsultant,Software Engineering Manager,Principal Consultant,API Development (Back-End)
1324,SoftwareEngineeringManagerE8,Software Engineering Manager,E8,Full Stack
1325,SoftwareEngineerSoftwareDevelopmentEngineer(SDE)3,Software Engineer,Software Development Engineer (SDE) 3,Full Stack
1326,HardwareEngineer3,Hardware Engineer,3,Design
1327,HardwareEngineerSrDeviceDevelopmentEngineer–I,Hardware Engineer,Sr Device Development Engineer – I,Hardware
1328,SoftwareEngineeringManagerICT5,Software Engineering Manager,ICT5,ML / AI
1329,SoftwareEngineerSoftwareEngineer-Mid,Software Engineer,Software Engineer - Mid,Web Development (Front-End)
1330,ProductManagerPrincipalProductManager-L7,Product Manager,Principal Product Manager - L7,Full Stack
1331,ProductDesignerT2-3,Product Designer,T2-3,User Experience Design
1332,SoftwareEngineerJuniorDeveloper,Software Engineer,Junior Developer,Full Stack
1333,ProductDesignerBand6,Product Designer,Band 6,ML / AI
1334,SoftwareEngineerSeniorengineer1,Software Engineer,Senior engineer 1,Distributed Systems (Back-End)
